id,PartyName,VoteCount
5040,Libertarian,7
5065,Libertarian,6
5015,Libertarian,24
5040,Libertarian,11
5065,Libertarian,12
5015,Libertarian,11
5040,Libertarian,4
5065,Libertarian,2
5015,Libertarian,21
5040,Libertarian,27
5065,Libertarian,27
5015,Libertarian,19
5040,Libertarian,21
5065,Libertarian,25
5015,Libertarian,54
5040,Libertarian,30
5065,Libertarian,37
5015,Libertarian,36
5040,Libertarian,24
5065,Libertarian,30
5015,Libertarian,48
5040,Libertarian,25
5065,Libertarian,38
5015,Libertarian,21
5040,Libertarian,16
5065,Libertarian,18
5015,Libertarian,20
5040,Libertarian,19
5065,Libertarian,20
5015,Libertarian,43
5040,Libertarian,26
5065,Libertarian,44
5015,Libertarian,44
5040,Libertarian,27
5065,Libertarian,36
5015,Libertarian,17
5040,Libertarian,9
5065,Libertarian,12
5015,Libertarian,9
5040,Libertarian,5
5065,Libertarian,8
5015,Libertarian,49
5040,Libertarian,26
5065,Libertarian,43
5015,Libertarian,22
5040,Libertarian,13
5065,Libertarian,14
5015,Libertarian,20
5040,Libertarian,11
5065,Libertarian,9
5015,Libertarian,13
5040,Libertarian,11
5065,Libertarian,14
5015,Libertarian,21
5040,Libertarian,16
5065,Libertarian,16
5015,Libertarian,50
5040,Libertarian,36
5065,Libertarian,36
5015,Libertarian,24
5040,Libertarian,15
5065,Libertarian,24
5015,Libertarian,61
5040,Libertarian,42
5065,Libertarian,64
5015,Libertarian,11
5040,Libertarian,18
5065,Libertarian,20
5015,Libertarian,26
5040,Libertarian,20
5065,Libertarian,29
5015,Libertarian,32
5040,Libertarian,23
5065,Libertarian,35
5015,Libertarian,52
5040,Libertarian,35
5065,Libertarian,32
5015,Libertarian,13
5040,Libertarian,11
5065,Libertarian,7
5015,Libertarian,14
5040,Libertarian,6
5065,Libertarian,9
5015,Libertarian,11
5040,Libertarian,20
5065,Libertarian,14
5015,Libertarian,6
5040,Libertarian,2
5065,Libertarian,5
5015,Libertarian,16
5040,Libertarian,11
5065,Libertarian,15
5015,Libertarian,23
5040,Libertarian,14
5065,Libertarian,25
5015,Libertarian,22
5040,Libertarian,29
5065,Libertarian,17
5015,Libertarian,116
5040,Libertarian,59
5065,Libertarian,68
5015,Libertarian,47
5040,Libertarian,28
5065,Libertarian,36
5015,Libertarian,42
5040,Libertarian,39
5065,Libertarian,30
5015,Libertarian,106
5040,Libertarian,69
5065,Libertarian,56
5015,Libertarian,77
5040,Libertarian,53
5065,Libertarian,51
5015,Libertarian,34
5040,Libertarian,28
5065,Libertarian,25
5015,Libertarian,36
5040,Libertarian,30
5065,Libertarian,22
5015,Libertarian,9
5040,Libertarian,7
5065,Libertarian,8
5015,Libertarian,24
5040,Libertarian,17
5065,Libertarian,21
5015,Libertarian,82
5040,Libertarian,41
5065,Libertarian,34
5015,Libertarian,34
5040,Libertarian,24
5065,Libertarian,23
5015,Libertarian,31
5040,Libertarian,39
5065,Libertarian,37
5015,Libertarian,16
5040,Libertarian,15
5065,Libertarian,18
5015,Libertarian,46
5040,Libertarian,36
5065,Libertarian,32
5015,Libertarian,44
5040,Libertarian,37
5065,Libertarian,38
5015,Libertarian,33
5040,Libertarian,22
5065,Libertarian,27
5015,Libertarian,8
5040,Libertarian,8
5065,Libertarian,10
5015,Libertarian,12
5040,Libertarian,18
5065,Libertarian,8
5015,Libertarian,15
5040,Libertarian,10
5065,Libertarian,8
5015,Libertarian,20
5040,Libertarian,14
5065,Libertarian,14
5015,Libertarian,10
5040,Libertarian,15
5065,Libertarian,13
5015,Libertarian,63
5040,Libertarian,44
5065,Libertarian,34
5015,Libertarian,21
5040,Libertarian,19
5065,Libertarian,10
5015,Libertarian,33
5040,Libertarian,32
5065,Libertarian,29
5015,Libertarian,8
5040,Libertarian,3
5065,Libertarian,5
5015,Libertarian,51
5040,Libertarian,37
5065,Libertarian,30
5015,Libertarian,73
5040,Libertarian,44
5065,Libertarian,36
5015,Libertarian,47
5040,Libertarian,23
5065,Libertarian,23
5015,Libertarian,55
5040,Libertarian,37
5065,Libertarian,35
5015,Libertarian,67
5040,Libertarian,34
5065,Libertarian,38
5015,Libertarian,64
5040,Libertarian,33
5065,Libertarian,33
5015,Libertarian,12
5040,Libertarian,6
5065,Libertarian,8
5015,Libertarian,33
5040,Libertarian,25
5065,Libertarian,32
5015,Libertarian,25
5040,Libertarian,28
5065,Libertarian,32
5015,Libertarian,31
5040,Libertarian,32
5065,Libertarian,30
50023,Democratic,1779
9501,Democratic,0
9502,Democratic,25
9503,Democratic,620
9504,Democratic,50
9506,Democratic,1
9507,Democratic,0
9508,Democratic,0
9509,Democratic,19
9511,Democratic,0
9512,Democratic,3
9513,Democratic,1
50024,Democratic,124
9514,Democratic,17
9516,Democratic,8
9517,Democratic,0
9518,Democratic,2
9519,Democratic,0
50022,Democratic,193
9521,Democratic,0
5000,Democratic,170
5005,Democratic,47
9205,Democratic,152
9210,Democratic,52
9355,Democratic,165
9360,Democratic,47
5000,Democratic,602
5005,Democratic,159
9205,Democratic,593
9210,Democratic,126
9355,Democratic,611
9360,Democratic,129
5000,Democratic,100
5005,Democratic,25
9205,Democratic,103
9210,Democratic,18
9355,Democratic,102
9360,Democratic,21
5000,Democratic,90
5005,Democratic,41
9205,Democratic,94
9210,Democratic,32
9355,Democratic,96
9360,Democratic,33
5000,Democratic,795
5005,Democratic,428
9205,Democratic,909
9210,Democratic,160
9355,Democratic,981
9360,Democratic,140
5000,Democratic,896
5005,Democratic,455
9205,Democratic,1009
9210,Democratic,191
9355,Democratic,1111
9360,Democratic,178
5000,Democratic,1130
5005,Democratic,501
9205,Democratic,1153
9210,Democratic,251
9355,Democratic,1265
9360,Democratic,203
5000,Democratic,860
5005,Democratic,426
9205,Democratic,927
9210,Democratic,185
9355,Democratic,1028
9360,Democratic,157
5000,Democratic,811
5005,Democratic,436
9205,Democratic,919
9210,Democratic,150
9355,Democratic,1038
9360,Democratic,133
5000,Democratic,438
5005,Democratic,173
9205,Democratic,397
9210,Democratic,191
9355,Democratic,397
9360,Democratic,210
5000,Democratic,428
5005,Democratic,125
9205,Democratic,303
9210,Democratic,66
9355,Democratic,322
9360,Democratic,55
5000,Democratic,938
5005,Democratic,258
9205,Democratic,771
9210,Democratic,95
9355,Democratic,791
9360,Democratic,77
5000,Democratic,802
5005,Democratic,208
9205,Democratic,629
9210,Democratic,81
9355,Democratic,635
9360,Democratic,81
5000,Democratic,1495
5005,Democratic,384
9205,Democratic,1253
9210,Democratic,197
9355,Democratic,1259
9360,Democratic,186
5000,Democratic,792
5005,Democratic,246
9205,Democratic,694
9210,Democratic,240
9355,Democratic,725
9360,Democratic,249
5000,Democratic,808
5005,Democratic,229
9205,Democratic,575
9210,Democratic,126
9355,Democratic,591
9360,Democratic,129
5000,Democratic,948
5005,Democratic,245
9205,Democratic,755
9210,Democratic,120
9355,Democratic,749
9360,Democratic,116
5000,Democratic,461
5005,Democratic,174
9205,Democratic,430
9210,Democratic,168
